CEID	NAME	Use	Enabled	RPTID	Description
10000	EQUIPMENT_START	True	1	25	Start Button 실행 시 발생
10001	EQUIPMENT_END	True	1	25	Stop Button 실행 시 시 발생
10004	PROCESS_START	True	1	9	첫 자재 투입 시 발생(Core)
10005	PROCESS_END	True	1	9	마지막 자재 투입 시 발생(Core)
10006	ERROR_START	True	1	25	장비 에러 발생 시 발생
10007	ERROR_STOP	True	1	25	장비 에러 해제 시 발생
10010	PORT_STATUS_LOAD	True	1	2	캐리어 투입을 위해 OHT 호출 시 발생
10011	PORT_STATUS_UNLOAD	True	1	2	캐리어 배출을 위해 OHT 호출 시 발생
10020	CARRIER_LOAD	True	1	3	캐리어가 로드포트에 안착될 시 발생
10021	CARRIER_UNLOAD	True	1	4	캐리어가 로드포트에서 제거될 시 발생
10030	RFID_READ_CORE_1	True	1	5	캐리어의 RFID 읽을 시 발생
10031	RFID_READ_CORE_2	True	1	5	캐리어의 RFID 읽을 시 발생
10032	RFID_READ_EMPTY_TAPE	True	1	5	캐리어의 RFID 읽을 시 발생
10033	RFID_READ_BIN_1	True	1	5	캐리어의 RFID 읽을 시 발생
10034	RFID_READ_BIN_2	True	1	5	캐리어의 RFID 읽을 시 발생
10035	RFID_READ_BIN_3	True	1	5	캐리어의 RFID 읽을 시 발생
10040	REQ_LOT_INFO_CORE_1	True	1	6	"LOT 정보 요청 시 발생(Core, Empty)"
10041	REQ_LOT_INFO_CORE_2	True	1	6	"LOT 정보 요청 시 발생(Core, Empty)"
10042	REQ_LOT_INFO_EMPTY_TAPE	True	1	6	"LOT 정보 요청 시 발생(Core, Empty)"
10050	REQ_SLOT_INFO_CORE_1	True	1	6	"캐리어의 슬롯 정보 요청 시 발생(Core, Empty)"
10051	REQ_SLOT_INFO_CORE_2	True	1	6	"캐리어의 슬롯 정보 요청 시 발생(Core, Empty)"
10052	REQ_SLOT_INFO_EMPTY_TAPE	True	1	6	"캐리어의 슬롯 정보 요청 시 발생(Core, Empty)"
10060	REQ_RECIPE_DOWNLOAD	True	1	7	레시피 다운로드 요청 시 발생(Core)
10065	REQ_RECIPE_UPLOAD	True	1	7	레시피 업로드 요청 시 발생(Core)
10100	REQ_TRACK_IN	True	1	8	트랙인 요청 시 발생(Core)
10101	REQ_CORE_WAFER_TRACK_OUT	True	1	8	Core Wafer Track out 요청 시 발생
10200	REQ_LOT_MATCH	True	1	28	부자재 투입 시 발생(Empty)
10201	REQ_BIN_WAFER_TRACK_OUT	True	1	30	매 Bin Wafer Track Out 요청 시 발생
10202	BIN_PART_ID_INFO_REQ	True	1	6	BIN PART ID 정보 요청 시 발생
10400	SLOT_WAFER_MAPPING_CORE_1	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10401	SLOT_WAFER_MAPPING_CORE_2	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10402	SLOT_WAFER_MAPPING_EMPTY_TAPE	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10403	SLOT_WAFER_MAPPING_BIN_1	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10404	SLOT_WAFER_MAPPING_BIN_2	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10405	SLOT_WAFER_MAPPING_BIN_3	True	1	21	"Foup 내의 Wafer Slot 정보 갱신 요청 시 발생(Core, Bin)"
10500	REQ_LOT_MERGE_CORE_1	True	1	22	"Split된 Lot ID를 병합 요청 시 발생(Core, Bin)"
10501	REQ_LOT_MERGE_CORE_2	True	1	22	"Split된 Lot ID를 병합 요청 시 발생(Core, Bin)"
10503	REQ_LOT_MERGE_BIN_1	True	1	22	"Split된 Lot ID를 병합 요청 시 발생(Core, Bin)"
10504	REQ_LOT_MERGE_BIN_2	True	1	22	"Split된 Lot ID를 병합 요청 시 발생(Core, Bin)"
10505	REQ_LOT_MERGE_BIN_3	True	1	22	"Split된 Lot ID를 병합 요청 시 발생(Core, Bin)"
10510	REQ_LOT_ID_CHANGE_BIN_1	True	1	21	Bin 작업이 완료되어 생성된 Lot ID로 변경 요청 시 발생
10511	REQ_LOT_ID_CHANGE_BIN_2	True	1	21	Bin 작업이 완료되어 생성된 Lot ID로 변경 요청 시 발생
10512	REQ_LOT_ID_CHANGE_BIN_3	True	1	21	Bin 작업이 완료되어 생성된 Lot ID로 변경 요청 시 발생
11000	WORK_START	True	1	10	"Core Wafer 기준 작업 시작 시 발생(Id Read, Map Downlaod 포함)"
11001	WORK_END	True	1	19	Core Wafer 기준 작업 종료 시 발생
