VID	NAME	Use	Format	TypeSize	Classification	Unit	Min	Max	Value	Default	Description
100000	SortingStageMotionDelay	True	INT4	1	ECV	ms	0	10000	0		
100001	TotalWorkCount	True	INT4	1	ECV	ea	0	2147483647	60110		
100002	TotalWorkTime	True	FLOAT8	1	ECV	ms	0	2147483647	240213033.5		
100003	UseWorkStop	True	BOOL	1	ECV	Boolean	0	1	0	0	
100004	Use_Vision	True	BOOL	1	ECV	Boolean	0	1	1	0	
100005	MachineLanguage	True	ASCII	128	ECV				ENGLISH		
100006	MachineName	True	ASCII	128	ECV				PWA-500BIN		
100007	Vision_CameraCount	True	FLOAT8	1	ECV	count	0	100	4		
100008	UnlockParameterChange	True	BOOL	1	ECV	Boolean	0	1	0		
100009	UseDisplayTextForReferenceDie	True	BOOL	1	ECV	Boolean	0	1	0		
100010	UseHeaterAutoControl	True	BOOL	1	ECV	Boolean	0	1	0	0	
100011	UseFFUAutoControl	True	BOOL	1	ECV	Boolean	0	1	1	0	
100012	FFUDoorCloseSpeed	True	INT4	1	ECV	mm	-10	3000	1000	0	
100013	FFUDoorOpenSpeed	True	INT4	1	ECV	RPM	-10	3000	1200	0	
100014	SupplyOutShuttleHeaterTemp	True	INT4	1	ECV	mm	-10	300	22	0	
100015	USE_DUMPING	True	BOOL	1	ECV	Boolean	0	1	0		
100016	UseTransferingDryRun	True	BOOL	1	ECV	Boolean	0	1	0	0	
100017	UseIgnoreWaferVisionResult	True	BOOL	1	ECV	Boolean	0	1	0	0	
100018	UseIgnoreULCVisionResult	True	BOOL	1	ECV	Boolean	0	1	0	0	
100019	UseIgnorePBIVisionResult	True	BOOL	1	ECV	Boolean	0	1	0	0	
100020	AirEjectingRegulator	True	FLOAT8	1	ECV	MPa	-10	300	0.6	0.2	
100021	SupplyShuttleVacuumCheckDelay	True	INT4	1	ECV	ms	0	1000	300	500	
100022	SupplyInShuttle_ReceiveFromEFEM_Y	True	FLOAT8	1	ECV	mm	-100	100	-2	0	
100023	SupplyInShuttle_WaitingWithWafer_Y	True	FLOAT8	1	ECV	mm	-500	100	-413.501	0	
100024	SupplyInShuttle_SendToBuffer_Y	True	FLOAT8	1	ECV	mm	-1000	100	-860.718	0	
100025	SupplyOutShuttle_ReceiveFromBuffer_Y	True	FLOAT8	1	ECV	mm	-1000	100	-856.01	0	
100026	SupplyOutShuttle_WaitingAndHeating_Y	True	FLOAT8	1	ECV	mm	-500	100	-421.869	0	
100027	SupplyOuTShuttle_SendToEFEM_Y	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100028	SupplyStage_ReceivePosition_X	True	FLOAT8	1	ECV	mm	-100	300	-4	0	
100029	SupplyStage_ReceivePosition_Y	True	FLOAT8	1	ECV	mm	-300	300	-83.511	0	
100030	SupplyStage_ReceivePosition_T	True	FLOAT8	1	ECV	mm	-100	300	0	0	
100031	SupplyStage_SendPosition_X	True	FLOAT8	1	ECV	mm	-10	300	2	0	
100032	SupplyStage_SendPosition_Y	True	FLOAT8	1	ECV	mm	-200	300	-83.511	0	
100033	SupplyStage_SendPosition_T	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100034	SupplyStage_ExpansionZeroZ	True	FLOAT8	1	ECV	mm	-10	300	9.2	0	
100035	SupplyStage_SafeForPickerZ	True	FLOAT8	1	ECV	mm	-10	300	2.1	0	
100036	SupplyStage_UpForTransferingZ	True	FLOAT8	1	ECV	mm	-10	300	11.721	0	
100037	SupplyStage_LoadcellWorkingZ	True	FLOAT8	1	ECV	mm	-10	300	9.2	0	
100038	SupplyStage_MaterialCheckPosition_X	True	FLOAT8	1	ECV	mm	-300	300	0	0	
100039	SupplyStage_MaterialCheckPosition_Y	True	FLOAT8	1	ECV	mm	-300	300	-113.211	0	
100040	SupplyStage_HeatingPosition_X	True	FLOAT8	1	ECV	mm	-300	300	0		
100041	SupplyStage_HeatingPosition_Y	True	FLOAT8	1	ECV	mm	-300	300	0		
100042	SupplyStage_CenterPosition_X	True	FLOAT8	1	ECV	mm	-300	300	1	0	
100043	SupplyStage_CenterPosition_Y	True	FLOAT8	1	ECV	mm	-300	300	70.113	0	
100044	SupplyStage_CenterPosition_T	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100045	SupplyStage_LoadcellPosition_X	True	FLOAT8	1	ECV	mm	-300	300	59.794	0	
100046	SupplyStage_LoadcellPosition_Y	True	FLOAT8	1	ECV	mm	-300	300	-180.027	0	
100047	SupplyStage_AutoToolChangerZeroPosition_X	True	FLOAT8	1	ECV	mm	-300	300	0		
100048	SupplyStage_AutoToolChangerZeroPosition_Y	True	FLOAT8	1	ECV	mm	-300	300	0		
100049	Ejector_Safety_Radius	True	FLOAT8	1	ECV	mm	-10	300	150	0	
100050	SupplyStage_DangerPostion_Start_ForHeadHoming_X	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100051	SupplyStage_DangerPostion_Start_ForHeadHoming_Y	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100052	SupplyStage_DangerPostion_End_ForHeadHoming_X	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100053	SupplyStage_DangerPostion_End_ForHeadHoming_Y	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100054	CalculateSupplyStageRotateCenterX	True	FLOAT8	1	ECV	mm	-300	300	0	0	
100055	CalculateSupplyStageRotateCenterY	True	FLOAT8	1	ECV	mm	-300	300	0		
100056	CalculateSupplyStageRotateCenterT	True	FLOAT8	1	ECV	deg	-300	300	0		
100057	RotateAngleForCalculatingSupplyStageRotateCenter	True	FLOAT8	1	ECV	deg	-300	300	0		
100058	ValidVisionResultRangeForCalculatingRotateCenter	True	FLOAT8	1	ECV	deg	-300	300	0		
100059	SupplyStageRotateCenterX	True	FLOAT8	1	ECV	mm	-300	300	0		
100060	SupplyStageRotateCenterY	True	FLOAT8	1	ECV	mm	-300	300	0		
100061	Ejector_Down_Z	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100062	Ejector_Up_Z	True	FLOAT8	1	ECV	mm	-10	300	150	0	
100063	NeedleReady_Z	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100064	Ejector_Center_Y	True	FLOAT8	1	ECV	mm	-10	300	1.014	0	
100065	Ejector_Center_Offset_Y	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100066	SupplyInHandler_WaitingPosition_X	True	FLOAT8	1	ECV	mm	-10	300	-1	0	
100067	SupplyInHandler_InBufferShuttleRegionX	True	FLOAT8	1	ECV	mm	-10	300	26.32	0	
100068	SupplyInHandler_InBufferCenterRegionX	True	FLOAT8	1	ECV	mm	-10	900	312.862	0	
100069	SupplyInHandler_StageX	True	FLOAT8	1	ECV	mm	-10	900	883.994	0	
100070	SupplyOutHandler_WaitingPosition_X	True	FLOAT8	1	ECV	mm	-10	300	0	0	
100071	SupplyOutHandler_StageX	True	FLOAT8	1	ECV	mm	-900	300	-882.718	0	
100072	SupplyOutHandler_OutBufferCenterRegionX	True	FLOAT8	1	ECV	mm	-900	300	-341.155	0	
100073	SupplyOutHandler_OutBufferShuttleRegionX	True	FLOAT8	1	ECV	mm	-100	300	-27.432	0	
100074	SupplyHandler_MotionSlowDistance_X	True	FLOAT8	1	ECV	mm	-10	300	10	0	
100075	SupplyHandler_ApprochToMaterialSlowSpeed	True	FLOAT8	1	ECV	mm/s	0	50	10	0	
100076	SupplyInBuffer_ReceiveFromInShuttle_Z	True	FLOAT8	1	ECV	mm	-100	100	-26.411	0	
100077	SupplyInBuffer_SendToStage_Z	True	FLOAT8	1	ECV	mm	-100	100	-56.554	0	
100078	SupplyOutBuffer_ReceiveFromStage_Z	True	FLOAT8	1	ECV	mm	-100	100	-56.5	0	
100079	SupplyOutBuffer_SendToOutShuttle_Z	True	FLOAT8	1	ECV	mm	-100	100	-27.056	0	
100080	SortingInBuffer_HandlerPosition_Y	True	FLOAT8	1	ECV	mm	-10	600	389.051	0	
100081	SortingInBuffer_EfemPosition_Y	True	FLOAT8	1	ECV	mm	-10	600	503.49	0	
100082	SortingInBuffer_ForRotatingPosition_Y	True	FLOAT8	1	ECV	mm	-10	100	0	0	
100083	SortingInBuffer_VerticalPosition_R	True	FLOAT8	1	ECV	deg	-100	100	-89.65	0	
100084	SortingInBuffer_HorizontalPosition_R	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100085	SortingInBuffer_HandlerPosition_Z	True	FLOAT8	1	ECV	mm	-10	500	288.1	0	
100086	SortingInBuffer_EfemPosition_Z	True	FLOAT8	1	ECV	mm	-10	100	12	0	
100087	SortingOutBuffer_HandlerPosition_Y	True	FLOAT8	1	ECV	mm	-10	500	409.437	0	
100088	SortingOutBuffer_EfemPosition_Y	True	FLOAT8	1	ECV	mm	-10	600	553.42	0	
100089	SortingOutBuffer_ForRotatingPosition_Y	True	FLOAT8	1	ECV	mm	-10	100	9.831	0	
100090	SortingOutBuffer_VerticalPosition_R	True	FLOAT8	1	ECV	deg	-100	100	-89.759	0	
100091	SortingOutBuffer_HorizontalPosition_R	True	FLOAT8	1	ECV	deg	-10	100	0	0	
100092	SortingOutBuffer_HandlerPosition_Z	True	FLOAT8	1	ECV	mm	-10	300	277.969	0	
100093	SortingOutBuffer_EfemPosition_Z	True	FLOAT8	1	ECV	mm	-10	100	-4	0	
100094	SortingInHandler_AvoidBufferPosition_X	True	FLOAT8	1	ECV	mm	-10	500	422.957	0	
100095	SortingInHandler_WaitingPosition_X	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100096	SortingInHandler_BufferPosition_X	True	FLOAT8	1	ECV	mm	-10	100	5.781	0	
100097	SortingInHandler_StagePosition_X	True	FLOAT8	1	ECV	mm	-10	1400	1300.744	0	
100098	SortingInHandler_WaitingPosition_Y	True	FLOAT8	1	ECV	mm	-20	100	-11	0	
100099	SortingInHandler_BufferPosition_Y	True	FLOAT8	1	ECV	mm	-10	100	9.704	0	
100100	SortingInHandler_StagePosition_Y	True	FLOAT8	1	ECV	mm	-10	200	115	0	
100101	SortingInHandler_ContactToStageLeftPosition_Y	True	FLOAT8	1	ECV	mm	-10	200	143.052	0	
100102	SortingInHandler_ContactToStageRightPosition_Y	True	FLOAT8	1	ECV	mm	-10	200	141.841	0	
100103	SortingInHandler_ContactToStagePosition_Y	True	FLOAT8	1	ECV	mm	-10	200	142.4	0	
100104	SortingOutHandler_AvoidBufferPosition_X	True	FLOAT8	1	ECV	mm	-500	100	-425.901	0	
100105	SortingOutHandler_WaitingPosition_X	True	FLOAT8	1	ECV	mm	-10	100	0	0	
100106	SortingOutHandler_BufferPosition_X	True	FLOAT8	1	ECV	mm	-10	100	-5.155	0	
100107	SortingOutHandler_StagePosition_X	True	FLOAT8	1	ECV	mm	-1400	100	-1298.298	0	
100108	SortingOutHandler_WaitingPosition_Y	True	FLOAT8	1	ECV	mm	-20	100	-11	0	
100109	SortingOutHandler_BufferPosition_Y	True	FLOAT8	1	ECV	mm	-10	100	14.068	0	
100110	SortingOutHandler_StagePosition_Y	True	FLOAT8	1	ECV	mm	-10	200	118.62	0	
100111	SortingOutHandler_ContactToStageLeftPosition_Y	True	FLOAT8	1	ECV	mm	-10	200	140	0	
100112	SortingOutHandler_ContactToStageRightPosition_Y	True	FLOAT8	1	ECV	mm	-10	200	141.667	0	
100113	SortingOutHandler_ContactToStagePosition_Y	True	FLOAT8	1	ECV	mm	-10	200	140.3	0	
100114	BinStageVacuumDelay	True	FLOAT8	1	ECV	ms	0	500	200	50	
100115	BinStageVacuumThreshold	True	FLOAT8	1	ECV	kPa	-100	1	-55		
100116	BinStageVacuumTolerance	True	FLOAT8	1	ECV	kPa	0	100	10		
100117	Bin1_Stage_WaitingPositionForBin2StageWorkX	True	FLOAT8	1	ECV	mm	0	1000	740.25	0	
100118	Bin1_Stage_WaitingPositionForBin2StageWorkY	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100119	Bin1_Stage_WaitingPositionForBin3StageWorkX	True	FLOAT8	1	ECV	mm	-1000	1	-764.901	0	
100120	Bin1_Stage_WaitingPositionForBin3StageWorkY	True	FLOAT8	1	ECV	mm	-100	100	0	0	
100121	Bin2_Stage_WaitingPositionX	True	FLOAT8	1	ECV	mm	-1400	1	-1300.899	0	
100122	Bin2_Stage_WaitingPositionY	True	FLOAT8	1	ECV	mm	-10	100	0	0	
100123	Bin3_Stage_WaitingPositionX	True	FLOAT8	1	ECV	mm	0	1300	1266.881	0	
100124	Bin3_Stage_WaitingPositionY	True	FLOAT8	1	ECV	mm	0	100	28.654	0	
100125	Bin1_Stage_LoadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	0.1	0	
100126	Bin1_Stage_LoadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	12.079	0	
100127	Bin2_Stage_LoadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	0.06	0	
100128	Bin2_Stage_LoadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	12.643	0	
100129	Bin3_Stage_LoadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	-1.426	0	
100130	Bin3_Stage_LoadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	13.128	0	
100131	Bin1_Stage_UnloadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	1.404	0	
100132	Bin1_Stage_UnloadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	12.179	0	
100133	Bin2_Stage_UnloadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	1.156	0	
100134	Bin2_Stage_UnloadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	14.141	0	
100135	Bin3_Stage_UnloadingPositionX	True	FLOAT8	1	ECV	mm	-100	100	0.074	0	
100136	Bin3_Stage_UnloadingPositionY	True	FLOAT8	1	ECV	mm	-100	100	14	0	
100137	Bin1_Stage_CenterPositionX	True	FLOAT8	1	ECV	mm	-100	100	-1.0675	0	
100138	Bin1_Stage_CenterPositionY	True	FLOAT8	1	ECV	mm	-100	100	-92.471	0	
100139	Bin2_Stage_CenterPositionX	True	FLOAT8	1	ECV	mm	-100	100	-1.1	0	
100140	Bin2_Stage_CenterPositionY	True	FLOAT8	1	ECV	mm	-100	100	-92	0	
100141	Bin3_Stage_CenterPositionX	True	FLOAT8	1	ECV	mm	-200	200	-2.036	0	
100142	Bin3_Stage_CenterPositionY	True	FLOAT8	1	ECV	mm	-100	100	-91.707	0	
100143	Bin1_Stage_BarcodePositionX	True	FLOAT8	1	ECV	mm	-100	500	79.621	0	
