RPTID	NAME	VID
1		"1000, 1001, 1002, 1003, 1100"
2		"1000, 1101, 1001, 1002, 1003, 1100"
3		"1001, 1101"
4		"1101, 1103, 1104, 1105"
5		"1101, 1001, 1000, 1100"
6		"1101, 1001"
7		"1101, 1102, 1103, 1104, 1105"
8		"1001, 1000, 1101, 1103, 1104, 1102, 1350, 1100"
9		"1001, 1000, 1101, 1103, 1102, 1100"
10		"1001, 1000, 1101, 1103, 1102, 1100, 1200"
11		"1101, 1200, 1103, 1102, 1004, 1100"
12		"1101, 1200"
13		"1001, 1000, 1101, 1103, 1102, 1200, 1004, 1100, 2000, 2001, 2010, 2011, 2012, 2013, 2014, 2015, 2020, 2021, 2022, 2023, 2024, 2025"
14		"1001, 1000, 1101, 1103, 1102, 1200, 1004, 1100"
15		"1101, 1201, 1300, 1302, 1350"
16		"1101, 1302, 1300"
17		"1101, 1302, 1300, 1350"
18		"1101, 1302, 1300, 1004, 1350, 1301"
19		"1001, 1000, 1101, 1103, 1102, 1100, 1350"
20		"1101, 1200, 1250, 1251, 1100"
21		"1101, 1001, 1400, 1401, 1402, 1403, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1500, 1501, 1502, 1503, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1511, 1512, 1513, 1514, 1515, 1516, 1517, 1518, 1519, 1520, 1521, 1522, 1523, 1524"
22		"1101, 1001, 1103, 1102, 1100, 1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1619, 1620, 1621, 1622, 1623, 1624"
23		"1101, 1260, 1280, 1281"
24		"1101, 1270, 1280, 1281"
25		"1101, 1103, 1104"
26		"1101, 1202, 1201, 1300, 1302, 1350"
27		"1101, 1302, 1300, 1004, 1350"
28		"1101, 1001, 1280, 1281"
29		"1101, 1261, 1280, 1281"
30		"1001, 1000, 1101, 1103, 1104, 1102, 1350, 1302, 1100"
31		"1001, 1000, 1101, 1103, 1102, 1100, 1350, 1152, 1153"
