VID	NAME	Use	Format	TypeSize	Classification	File	Unit	Min	Max	Value	Description
1000	PORTID	True	ASCII	128	SV	False					
1001	CARRIERID	True	ASCII	128	SV	False					
1002	CARRIER_TYPE	True	ASCII	128	SV	False					
1003	STATUS	True	ASCII	128	SV	False					
1004	SLOTID	True	UINT1	1	SV	False				0	
1100	OPERID	True	ASCII	128	SV	False					
1101	LOTID	True	ASCII	128	SV	False					
1102	RECIPEID	True	ASCII	128	SV	False					
1103	PARTID	True	ASCII	128	SV	False					
1104	STEPSEQ	True	ASCII	128	SV	False					
1105	LOTTYPE	True	ASCII	128	SV	False					
1150	XML_FILENAME	True	ASCII	128	SV	False					
1151	XML_FILEBODY	True	BINARY	50000	SV	False				0	
1152	PMS_FILENAME	True	ASCII	128	SV	False					
1153	PMS_FILEBODY	True	BINARY	50000	SV	False				0	
1200	WAFERID	True	ASCII	128	SV	False					
1201	SPLIT_WAFERID	True	ASCII	128	SV	False					
1202	SPLIT_LOTID	True	ASCII	128	SV	False					
1250	SCRAP_QTY	True	UINT4	1	SV	False				0	
1251	SCRAP_INFO	True	ASCII	128	SV	False					
1260	PICKER_COLLET_1	True	ASCII	128	SV	False					
1261	PICKER_COLLET_2	True	ASCII	128	SV	False					
1270	EJECT_HOOD_ID	True	ASCII	128	SV	False					
1280	CHANGE_REASON	True	ASCII	128	SV	False					
1281	MATERIAL_TYPE	True	ASCII	128	SV	False					
1300	RINGFRAME_ID	True	ASCII	128	SV	False					
1301	ASSIGNED_WAFERID	True	ASCII	128	SV	False					
1302	BIN_TYPE	True	ASCII	128	SV	False					
1350	CHIP_QTY	True	UINT4	1	SV	False				0	
1400	SLOT1_WAFERID	True	ASCII	128	SV	False					
1401	SLOT2_WAFERID	True	ASCII	128	SV	False					
1402	SLOT3_WAFERID	True	ASCII	128	SV	False					
1403	SLOT4_WAFERID	True	ASCII	128	SV	False					
1404	SLOT5_WAFERID	True	ASCII	128	SV	False					
1405	SLOT6_WAFERID	True	ASCII	128	SV	False					
1406	SLOT7_WAFERID	True	ASCII	128	SV	False					
1407	SLOT8_WAFERID	True	ASCII	128	SV	False					
1408	SLOT9_WAFERID	True	ASCII	128	SV	False					
1409	SLOT10_WAFERID	True	ASCII	128	SV	False					
1410	SLOT11_WAFERID	True	ASCII	128	SV	False					
1411	SLOT12_WAFERID	True	ASCII	128	SV	False					
1412	SLOT13_WAFERID	True	ASCII	128	SV	False					
1413	SLOT14_WAFERID	True	ASCII	128	SV	False					
1414	SLOT15_WAFERID	True	ASCII	128	SV	False					
1415	SLOT16_WAFERID	True	ASCII	128	SV	False					
1416	SLOT17_WAFERID	True	ASCII	128	SV	False					
