[00:00:01:533]	[SEND] Port : 3, Title : RequestApproachUnloading
[00:00:01:646]	[RECV] Port : 3, Title : ResponseApproachUnloading [Key : SubstrateName, Value : ZFWL391.10] [Key : LotId, Value : ] [Key : SubstrateType, Value : Core] [Key : RecipeId, Value : ]
[00:00:01:646]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:04:845]	[SEND] Port : 3, Title : RequestActionUnloading [Key : SubstrateName, Value : ZFWL391.10] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:00:04:952]	[RECV] Port : 3, Title : ResponseActionUnloading [Key : , Value : ]
[00:00:04:952]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:08:139]	[SEND] Port : 3, Title : RequestConfirmUnloading
[00:00:08:254]	[RECV] Port : 3, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:00:08:254]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:16:273]	[SEND] Port : 4, Title : RequestApproachUnloading
[00:00:16:378]	[RECV] Port : 4, Title : ResponseApproachUnloading [Key : SubstrateName, Value : MAO63842.10] [Key : LotId, Value : ] [Key : SubstrateType, Value : Bin3] [Key : RecipeId, Value : ]
[00:00:16:378]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:00:19:679]	[SEND] Port : 4, Title : RequestActionUnloading [Key : SubstrateName, Value : MAO63842.10] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:00:19:789]	[RECV] Port : 4, Title : ResponseActionUnloading [Key : , Value : ]
[00:00:19:789]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:00:22:999]	[SEND] Port : 4, Title : RequestConfirmUnloading
[00:00:23:107]	[RECV] Port : 4, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:00:23:107]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:00:31:141]	[SEND] Port : 3, Title : RequestApproachUnloading
[00:00:31:255]	[RECV] Port : 3, Title : ResponseApproachUnloading [Key : SubstrateName, Value : ZFWL391.11] [Key : LotId, Value : ] [Key : SubstrateType, Value : Core] [Key : RecipeId, Value : ]
[00:00:31:255]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:34:248]	[SEND] Port : 3, Title : RequestActionUnloading [Key : SubstrateName, Value : ZFWL391.11] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:00:34:361]	[RECV] Port : 3, Title : ResponseActionUnloading [Key : , Value : ]
[00:00:34:361]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:37:570]	[SEND] Port : 3, Title : RequestConfirmUnloading
[00:00:37:674]	[RECV] Port : 3, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:00:37:674]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:00:45:694]	[SEND] Port : 4, Title : RequestApproachUnloading
[00:00:45:795]	[RECV] Port : 4, Title : ResponseApproachUnloading [Key : SubstrateName, Value : MAO63842.11] [Key : LotId, Value : ] [Key : SubstrateType, Value : Bin3] [Key : RecipeId, Value : ]
[00:00:45:795]	[SEND] Response Message > Port : 4, Ack : Ack, 
