[23:44:04:827]	[OPER] ----- Initialize -----
[23:44:04:829]	[SEND] RESET
[23:44:04:874]	[RECV] A
[23:44:04:876]	[RECV] O
[23:44:04:882]	[SEND] HOM
[23:44:04:919]	[RECV] A
[23:44:22:231]	[RECV] O
[23:44:22:234]	[SEND] STATUS
[23:44:22:286]	[RECV] A
[23:44:22:287]	[RECV] S4150142B
[23:44:22:288]	[OPER] ----- Result : Completed, Description : 
[23:44:22:289]	[OPER] ----- ChangeToFoup -----
[23:44:22:289]	[SEND] RESET
[23:44:22:333]	[RECV] A
[23:44:22:334]	[RECV] O
[23:44:22:337]	[SEND] OC_MODE OFF
[23:44:22:386]	[RECV] A
[23:44:22:387]	[RECV] O
[23:44:22:391]	[SEND] STATUS
[23:44:22:443]	[RECV] A
[23:44:22:444]	[RECV] S4150142B
[23:44:22:445]	[OPER] ----- Result : Completed, Description : 
