[11:21:10:890]	[RECV] C00000001
[11:21:46:952]	[RECV] M00000000,00000000,00000000
[11:42:27:638]	[RECV] M00000000,00000000,00000000
[11:42:50:248]	[RECV] C00000002
[15:25:19:398]	[RECV] C01000000
[16:28:11:111]	[OPER] ----- Initialize -----
[16:28:11:111]	[SEND] RESET
[16:28:11:159]	[RECV] A
[16:28:11:160]	[RECV] O
[16:28:11:163]	[SEND] HOM
[16:28:11:204]	[RECV] A
[16:28:22:612]	[RECV] O
[16:28:22:615]	[SEND] STATUS
[16:28:22:666]	[RECV] A
[16:28:22:667]	[RECV] S7350142B
[16:28:22:668]	[OPER] ----- Result : Completed, Description : 
[16:28:22:669]	[OPER] ----- ChangeToCassette -----
[16:28:22:669]	[SEND] RESET
[16:28:22:710]	[RECV] A
[16:28:22:711]	[RECV] O
[16:28:22:715]	[SEND] OC_MODE ON
[16:28:22:763]	[RECV] A
[16:28:22:764]	[RECV] O
[16:28:22:767]	[SEND] STATUS
[16:28:22:819]	[RECV] A
[16:28:22:820]	[RECV] S7350142B
[16:28:22:821]	[OPER] ----- Result : Completed, Description : 
