[16:15:35:913]	[OPER] Start> Initialize
[16:15:35:915]	[SEND] CLEAR
[16:15:35:974]	[RECV] _ACK
[16:15:37:109]	[RECV] _RDY
[16:15:37:117]	[SEND] HOME ALL
[16:15:37:170]	[RECV] _ACK
[16:15:53:553]	[RECV] _RDY
[16:15:53:555]	[OPER] End > Initialize, Result : Completed
[16:16:16:746]	[OPER] Start> ClearError
[16:16:16:748]	[SEND] CLEAR
[16:16:16:801]	[RECV] _ACK
[16:16:17:917]	[RECV] _RDY
[16:16:17:919]	[OPER] End > ClearError, Result : Completed
[16:16:31:528]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 1
[16:16:31:536]	[SEND] PICK 11 SLOT 2 ARM A
[16:16:31:605]	[RECV] _ACK
[16:16:41:489]	[RECV] _RDY
[16:16:41:490]	[OPER] End > Pick, Result : Completed
[16:16:41:647]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:16:41:650]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:16:41:729]	[RECV] _ACK
[16:16:44:630]	[RECV] _RDY
[16:16:44:632]	[OPER] End > ApproachForPlace, Result : Completed
[16:16:44:748]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 1
[16:16:44:752]	[SEND] PLACE 14 SLOT 1 ARM A
[16:16:44:822]	[RECV] _ACK
[16:16:49:327]	[RECV] _RDY
[16:16:49:328]	[OPER] End > Place, Result : Completed
[16:16:49:455]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 2
[16:16:49:463]	[SEND] PICK 11 SLOT 3 ARM A
[16:16:49:531]	[RECV] _ACK
[16:16:57:849]	[RECV] _RDY
[16:16:57:850]	[OPER] End > Pick, Result : Completed
[16:16:57:976]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:16:57:978]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:16:58:057]	[RECV] _ACK
[16:17:00:960]	[RECV] _RDY
[16:17:00:961]	[OPER] End > ApproachForPlace, Result : Completed
[16:17:01:083]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 2
[16:17:01:087]	[SEND] PLACE 14 SLOT 1 ARM A
[16:17:01:156]	[RECV] _ACK
[16:17:05:678]	[RECV] _RDY
[16:17:05:679]	[OPER] End > Place, Result : Completed
[16:17:05:812]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 0
[16:17:05:820]	[SEND] PICK 4 SLOT 1 ARM A
[16:17:05:885]	[RECV] _ACK
[16:17:14:294]	[RECV] _RDY
[16:17:14:295]	[OPER] End > Pick, Result : Completed
[16:17:14:430]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:17:14:432]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[16:17:14:511]	[RECV] _ACK
[16:17:17:414]	[RECV] _RDY
[16:17:17:416]	[OPER] End > ApproachForPlace, Result : Completed
[16:17:17:530]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[16:17:17:534]	[SEND] PLACE 13 SLOT 1 ARM A
[16:17:17:603]	[RECV] _ACK
[16:17:22:130]	[RECV] _RDY
[16:17:22:130]	[OPER] End > Place, Result : Completed
[16:17:22:253]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 3
[16:17:22:261]	[SEND] PICK 11 SLOT 4 ARM A
[16:17:22:328]	[RECV] _ACK
[16:17:30:644]	[RECV] _RDY
[16:17:30:645]	[OPER] End > Pick, Result : Completed
[16:17:30:777]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[16:17:30:779]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[16:17:30:856]	[RECV] _ACK
[16:17:33:761]	[RECV] _RDY
[16:17:33:762]	[OPER] End > ApproachForPlace, Result : Completed
[16:17:33:874]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 3
[16:17:33:878]	[SEND] PLACE 14 SLOT 1 ARM A
[16:17:33:947]	[RECV] _ACK
