[15:16:34:992]	[OPER] ----- FindLoadingMode -----
[15:16:34:995]	[SEND] s00SET:RESET;
[15:16:35:119]	[RECV] ACK:RESET
[15:16:35:122]	[RECV] INF:RESET
[15:16:35:127]	[SEND] s00GET:STATE;
[15:16:35:270]	[RECV] ACK:STATE/000000001011001C0000
[15:16:39:993]	[OPER] ----- Result : Timeout, Description : 
[15:40:27:454]	[OPER] ----- ChangeAccessModeToAuto -----
[15:40:27:455]	[SEND] s00SET:RESET;
[15:40:27:455]	[OPER] ----- Result : Completed, Description : 
[15:40:27:572]	[RECV] ACK:RESET
[15:40:27:574]	[RECV] INF:RESET
[15:40:31:351]	[OPER] ----- ChangeAccessModeToManual -----
[15:40:31:351]	[SEND] s00SET:RESET;
[15:40:31:354]	[OPER] ----- Result : Completed, Description : 
[15:40:31:471]	[RECV] ACK:RESET
[15:40:31:473]	[RECV] INF:RESET
[15:40:36:550]	[OPER] ----- ChangeAccessModeToAuto -----
[15:40:36:550]	[SEND] s00SET:RESET;
[15:40:36:551]	[OPER] ----- Result : Completed, Description : 
[15:40:36:673]	[RECV] ACK:RESET
[15:40:36:675]	[RECV] INF:RESET
[15:40:38:857]	[OPER] ----- ChangeAccessModeToManual -----
[15:40:38:857]	[SEND] s00SET:RESET;
[15:40:38:861]	[OPER] ----- Result : Completed, Description : 
[15:40:38:973]	[RECV] ACK:RESET
[15:40:38:975]	[RECV] INF:RESET
[15:42:14:169]	[OPER] ----- ChangeAccessModeToAuto -----
[15:42:14:172]	[SEND] s00SET:RESET;
[15:42:14:173]	[OPER] ----- Result : Completed, Description : 
[15:42:14:293]	[RECV] ACK:RESET
[15:42:14:295]	[RECV] INF:RESET
[15:42:19:003]	[OPER] ----- ChangeAccessModeToManual -----
[15:42:19:003]	[SEND] s00SET:RESET;
[15:42:19:023]	[OPER] ----- Result : Completed, Description : 
[15:42:19:118]	[RECV] ACK:RESET
[15:42:19:120]	[RECV] INF:RESET
[15:42:33:165]	[OPER] ----- ChangeAccessModeToAuto -----
[15:42:35:401]	[SEND] s00SET:RESET;
[15:42:35:402]	[OPER] ----- Result : Completed, Description : 
[15:42:35:517]	[RECV] ACK:RESET
[15:42:35:519]	[RECV] INF:RESET
[15:43:33:671]	[RECV] INF:ULDSW
[15:43:34:182]	[RECV] INF:ULDSW
[15:43:34:182]	[SEND] s00SET:RESET;
[15:43:34:296]	[RECV] ACK:RESET
[15:43:34:298]	[RECV] INF:RESET
[15:43:35:106]	[RECV] INF:LODSW
[15:43:36:332]	[RECV] INF:MACSW
[15:43:36:998]	[RECV] INF:MTLSW
